"","origin","destination","distance","population_origin","gdp_origin","population_destination","gdp_destination","trade","x_jj","trade_sum_destination"
"13121","CZE","KHM",8940.35680226898,10.2733001708984,56720.8359375,12.7443809509277,3668.39819335938,0.0300000005316651,1632.50710449797,2035.89108886141
"13122","DEU","KHM",9310.81350739899,82.2099990844727,1900221.125,12.7443809509277,3668.39819335938,8.70650015429808,1632.50710449797,2035.89108886141
"13123","DNK","KHM",9123.93399304542,5.3373441696167,160082.640625,12.7443809509277,3668.39819335938,1.70000003012769,1632.50710449797,2035.89108886141
"13124","DOM","KHM",16573.7862267712,8.74398326873779,19772.244140625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13125","DZA","KHM",10231.495127684,30.463134765625,54790.0625,12.7443809509277,3668.39819335938,0.109974811948992,1632.50710449797,2035.89108886141
"13126","EGY","KHM",7779.27553364105,67.2854995727539,99838.5390625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13127","ESP","KHM",10607.0806416611,40.2631988525391,580673.5,12.7443809509277,3668.39819335938,0.985820017470871,1632.50710449797,2035.89108886141
"13128","EST","KHM",8257.39019066944,1.3695125579834,5623.40234375,12.7443809509277,3668.39819335938,1.0780000191045,1632.50710449797,2035.89108886141
"13129","ETH","KHM",7181.11928803749,64.2979965209961,7903.38720703125,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13130","FIN","KHM",8313.03125134735,5.17619752883911,120562.921875,12.7443809509277,3668.39819335938,1.56299002769958,1632.50710449797,2035.89108886141
"13131","FJI","KHM",8738.29136009574,0.810736000537872,1652.77648925781,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13132","FRA","KHM",9920.64580328674,58.8955154418945,1327962.875,12.7443809509277,3668.39819335938,53.0049309393624,1632.50710449797,2035.89108886141
"13133","GBR","KHM",10012.8879689133,59.7429809570312,1442844.625,12.7443809509277,3668.39819335938,19.0700003379618,1632.50710449797,2035.89108886141
"13134","GEO","KHM",6731.8335353426,4.7200608253479,3057.45361328125,12.7443809509277,3668.39819335938,0.0100000001772217,1632.50710449797,2035.89108886141
"13135","GNQ","KHM",10517.5402741755,0.448843985795975,1254.22302246094,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13136","GRC","KHM",8428.27779273987,10.9174995422363,114600.9765625,12.7443809509277,3668.39819335938,3.36520805963879,1632.50710449797,2035.89108886141
"13137","GUY","KHM",17225.3055018771,0.743682980537415,712.667907714844,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13138","HKG","KHM",1544.85912050629,6.66499996185303,168753.9375,12.7443809509277,3668.39819335938,303.173205372887,1632.50710449797,2035.89108886141
"13139","HRV","KHM",8952.34275502396,4.50250005722046,18427.228515625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13140","HTI","KHM",16611.7290054195,7.93879079818726,3848.61962890625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13141","HUN","KHM",8699.62216139374,10.2109708786011,47958.18359375,12.7443809509277,3668.39819335938,0.0200000003544434,1632.50710449797,2035.89108886141
